                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0831,                 1.1123,                  1.164,                0.68531,                0.56279,                0.55513,                0.36366,                 1.6271,                   1.95,                 1.3899,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.0272,                  1.033,                 1.1218,                0.50087,                0.47442,                0.47229,                0.28409,                 1.7505,                 2.1675,                 1.5029,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1061,                  1.083,                 1.1769,                0.70292,                0.38605,                0.39662,                0.28715,                 1.5834,                 2.0871,                 1.3173,              0.0011059,              0.0011059,              0.0011059
                     37,                  1.094,                 1.0457,                 1.1349,                0.77811,                0.42338,                0.42876,                 0.3233,                 1.5216,                 1.9941,                 1.2981,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0741,                 1.0207,                 1.1483,                0.69033,                 0.3707,                0.42435,                0.32898,                 1.4522,                 1.8886,                 1.2455,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.0292,                  1.051,                   1.16,                0.53263,                0.49767,                0.45863,                0.32543,                 1.4914,                 1.7823,                   1.28,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.0193,                0.98601,                  1.117,                0.85855,                0.38922,                0.51763,                0.39001,                 1.4791,                 1.9255,                 1.2897,              0.0010399,              0.0010399,              0.0010399
                     41,                  1.072,                 1.0707,                 1.1385,                0.63679,                0.40199,                0.48152,                0.31282,                 1.6586,                 1.9587,                 1.4234,              0.0010234,              0.0010234,              0.0010234
                     42,                0.99802,                 0.9229,                 1.0929,                0.68162,                0.44756,                0.50459,                 0.3485,                 1.6004,                 2.0032,                 1.3646,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.0253,                0.98493,                 1.1144,                0.76597,                0.48031,                0.56744,                0.41368,                 1.5067,                 1.8144,                  1.286,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.1222,                 1.0309,                 1.1862,                0.76624,                0.49012,                0.51979,                0.39994,                 1.5436,                 1.9642,                 1.2914,             0.00097386,             0.00097386,             0.00097386
                     45,                0.94162,                0.92475,                 1.0939,                0.67392,                0.44835,                0.46743,                0.36461,                 1.4707,                 2.1763,                 1.2805,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0079,                0.90598,                 1.1101,                 0.8203,                0.38605,                0.44923,                0.33007,                 1.4651,                 1.9713,                 1.2834,             0.00094085,             0.00094085,             0.00094085
                     47,                0.97696,                0.87885,                 1.1046,                0.88017,                0.37442,                0.46343,                0.32525,                 1.5456,                 1.9368,                 1.3347,             0.00092435,             0.00092435,             0.00092435
